year,mileageUnformatted,priceUnformatted,trim,vin,dealerName,city,createdAt,estimate_price,discount
2023,3721,24836,LE,4T1C11AKXPU776179,Volkswagen of West Islip,West Islip,2024-08-25T16:37:30.763Z,27904.199053133623,3068.1990531336232
2016,26574,20289,XLE,4T1BF1FKXGU240564,City World Hyundai,Bronx,2024-08-24T03:02:11.036Z,22946.202091071707,2657.2020910717074
2020,38495,20998,SE,4T1G11AK1LU959675,David McDermott Chevrolet of New Haven,East Haven,2024-08-24T14:43:06.564Z,22603.652725736887,1605.652725736887
2019,73819,17900,SE,4T1B11HK3KU692912,All County Auto Sales,Bridgeport,2024-08-24T15:26:42.249Z,19487.141350885402,1587.141350885402
2018,38975,23398,XLE,4T1B11HK1JU546586,AKJ Sales,West Wareham,2024-08-24T17:10:34.087Z,23786.217017809784,388.217017809784
2017,11875,19882,LE,4T1BF1FK0HU454142,Paul Miller Toyota of West Caldwell,West Caldwell,2024-08-23T05:00:26.019Z,20122.28930626724,240.28930626724105
2022,25188,24995,LE,4T1R11BK2NU048510,Curry Chevrolet,Scarsdale,2024-08-24T18:45:50.688Z,25127.104245206523,132.10424520652305
2022,51532,23990,SE,4T1G11AK6NU712459,Toyota City,Mamaroneck,2024-08-23T19:14:07.511Z,23899.96964520652,-90.03035479347818
2022,47829,24388,SE,4T1G11AK8NU675091,Toyota City,Mamaroneck,2024-08-23T19:14:07.530Z,24155.106345206525,-232.89365479347543
2020,53662,21995,SE,4T1G11AKXLU355512,Sam's Auto Group Inc.,Cranston,2024-08-23T16:48:57.011Z,21558.646425736886,-436.35357426311384
2018,51108,19698,LE,4T1B11HK8JU015529,Upper Valley Honda,White River Junction,2024-08-23T17:08:38.322Z,19261.334817809784,-436.665182190216
2020,20120,24378,SE,4T1G11AK9LU376660,Parkway Toyota of Boston,West Roxbury,2024-08-23T17:54:18.182Z,23869.690225736886,-508.3097742631144
2023,55997,24980,LE,4T1R11BK2PU086015,Middletown Toyota,Middletown,2024-08-25T04:57:58.242Z,24302.382653133624,-677.6173468663765
2022,61740,23997,SE,4T1G11AK9NU661149,Ira Toyota of Danvers,Danvers,2024-08-23T18:08:28.204Z,23196.638445206525,-800.3615547934751
2018,40536,20995,LE,4T1B11HK4JU603122,Charlie's Chevrolet,Winthrop,2024-08-25T14:49:00.804Z,19989.745617809782,-1005.2543821902182
2021,44746,23600,LE,4T1C11AK7MU423619,Toyota of Nashua,Nashua,2024-08-24T20:52:46.013Z,22481.314118468446,-1118.6858815315536
2021,51193,24288,SE,4T1G11BK1MU034135,Balise Honda of West Warwick,West Warwick,2024-08-24T02:08:01.787Z,22625.082818468447,-1662.917181531553
2021,72114,23497,SE,4T1G11BK0MU042582,McGovern Subaru of Acton,Acton,2024-08-23T15:05:18.375Z,21183.625918468446,-2313.374081531554
2021,61173,25000,SE,4T1G11AK7MU609176,Ira Toyota Saco,Saco,2024-08-25T01:00:34.335Z,21937.460818468448,-3062.5391815315525
