date,number_of_listings,average_discount
2024-08-27,12,635.7726595683331
2024-08-28,27,-529.1138165988663
2024-08-29,21,324.7156629955015
2024-08-30,29,-545.4844150294313
2024-08-31,30,-288.2581899438443
2024-09-01,16,-328.3960055681341
2024-09-02,5,119.88600277106234
2024-09-03,3,340.9173630218696
2024-09-04,18,653.4384196561891
2024-09-05,24,-448.7385664121138
2024-09-06,20,-909.4591832338944
2024-09-07,22,-1101.3333520278577
2024-09-08,23,-68.11257196690396
2024-09-09,7,-547.7084915968351
2024-09-10,20,588.0987585367345
2024-09-11,29,-302.91108636375213
2024-09-12,29,225.4349789575548
2024-09-13,22,-508.21555969235993
2024-09-14,25,-804.1913995909163
2024-09-15,14,-281.7903241494036
2024-09-16,2,-758.8475999722286
2024-09-17,15,-796.4956379749841
2024-09-18,25,-1548.6746871418268
2024-09-19,20,109.66292751178234
2024-09-20,0,
2024-09-21,46,-510.3638625131088
2024-09-22,7,-1294.4837135810874
2024-09-23,2,-888.8616354906917
2024-09-24,19,321.8832403276261
2024-09-25,24,-821.3378285496432
2024-09-26,15,655.7655264899931
2024-09-27,20,-1003.04775202753
2024-09-28,30,-17.977899087906007
2024-09-29,22,187.72572780112503
2024-09-30,3,-594.4896921841404
2024-10-01,15,-372.9016262790729
2024-10-02,15,-302.7834764825631
2024-10-03,43,-452.4399735184483
2024-10-04,38,-786.9500025585372
2024-10-05,22,963.0384361308872
2024-10-06,18,404.8010275815759
2024-10-07,4,-802.6902092547407
2024-10-08,5,1863.7591202713245
2024-10-09,30,-619.7931429071427
2024-10-10,26,-373.25996850772543
2024-10-11,21,-73.45801036405135
2024-10-12,38,317.11994077267616
2024-10-13,8,1165.214147552943
2024-10-14,2,-1701.9967187748016
2024-10-15,16,-501.5554614462874
2024-10-16,15,166.82698079066978
2024-10-17,13,-577.5175868739939
2024-10-18,17,115.15163142952308
2024-10-19,33,-396.9334975933066
2024-10-20,14,685.8767563789578
2024-10-21,13,-762.2025828523066
2024-10-22,11,-370.4385880994659
2024-10-23,21,-533.7034307036402
2024-10-24,21,-161.49798070079626
2024-10-25,39,-95.6723806023475
2024-10-26,12,-910.7186008074056
2024-10-27,28,-1470.6346012629967
2024-10-28,5,-271.2911236919299
2024-10-29,14,173.60171206156534
2024-10-30,19,-407.3274271166198
2024-10-31,18,136.77565651087693
