Date,Dealer,City,Model Year,Mileage,Trim,Price,Discount
2025-06-07,Faith's Toyota,Westminster,2025,5.0,LE,28531,6318.667000000001
2025-06-07,Woburn Toyota,Woburn,2025,7.0,LE,30311,4538.533799999997
2025-06-07,Toyota of Nashua,Nashua,2025,6.0,LE,30528,4321.600400000003
2025-06-07,Stephen Auto Mall,Bristol,2025,5.0,LE,30813,4036.667000000001
2025-06-07,Westboro Toyota,Westborough,2023,48513.0,XSE,26700,3414.9581894851544
2025-06-07,Westboro Toyota,Westborough,2023,51544.0,XSE,26500,3413.0935894851573
2025-06-07,AGM Auto Sales,Malden,2025,19156.0,SE,30999,3333.202000000005
2025-06-07,Westboro Toyota,Westborough,2023,55091.0,XSE,26900,2776.8633894851555
2025-06-07,Stephen Auto Mall,Bristol,2025,5.0,LE,32138,2711.6670000000013
2025-06-07,Stephen Auto Mall,Bristol,2025,5.0,LE,32183,2666.6670000000013
2025-06-07,Stephen Auto Mall,Bristol,2025,5.0,LE,32358,2491.6670000000013
2025-06-07,Bernardi Toyota,Framingham,2025,10.0,LE,32368,2481.3340000000026
2025-06-07,Imperial Toyota,Milford,2025,104.0,LE,32977,1866.0736000000036
2025-06-07,Preowned Auto Wholesalers LLC,Naugatuck,2016,148514.0,LE,8995,1772.3710734958768
2025-06-07,Nucar Toyota of Norwood,Norwood,2023,55599.0,SE,23688,1761.5105894851586
2025-06-07,Stephen Auto Mall,Bristol,2025,5.0,LE,33263,1586.6670000000013
2025-06-07,Stephen Auto Mall,Bristol,2025,5.0,LE,33318,1531.6670000000013
2025-06-07,Nucar Toyota of Norwood,Norwood,2023,59700.0,SE,23688,1488.383989485159
2025-06-07,Woburn Toyota,Woburn,2025,7.0,SE,34227,1380.5253999999986
2025-06-07,Stephen Auto Mall,Bristol,2025,5.0,LE,33484,1365.6670000000013
2025-06-07,Hartford Toyota Super Store,Hartford,2025,4.0,SE,34303,1304.7252000000008
2025-06-07,Irwin Automotive Group,Laconia,2017,35701.0,XLE,21153,1122.1193789703138
2025-06-07,Toyota of Dartmouth,N. Dartmouth,2025,1.0,LE,33729,1120.9334000000017
2025-06-07,Stephen Auto Mall,Bristol,2025,5.0,LE,33744,1105.6670000000013
2025-06-07,White River Toyota,White River Junction,2022,37704.0,LE,23900,746.6572889545205
2025-06-07,Ira Toyota of Danvers,Danvers,2025,5.0,SE,34893,714.6586000000025
2025-06-07,Baron Auto Sales,West Springfield,2021,67400.0,SE,21500,642.541729018616
2025-06-07,Nucar Ford of Lebanon,Lebanon,2022,59996.0,SE,23315,605.0016889545223
2025-06-07,Parkway Toyota of Boston,West Roxbury,2019,84395.0,LE,18221,556.2412000555414
2025-06-07,Ira Toyota Saco,Saco,2021,80845.0,SE,20700,547.1047290186143
2025-06-07,Ira Toyota of Danvers,Danvers,2025,5.0,SE,35143,464.6586000000025
2025-06-07,McGee Toyota of Claremont,Claremont,2025,4.0,XSE,39354,447.2451999999976
2025-06-07,Chrysler Dodge Jeep Ram of Clifton Park,Clifton Park,2023,41491.0,SE,25995,394.1033894851571
2025-06-07,North End Motors,Canton,2022,23220.0,SE,25990,379.2832889545207
2025-06-07,Icon Motors Group,Medford,2020,93955.0,SE,18726,236.97563396242185
2025-06-07,Albrecht Subaru of Wakefield,Wakefield,2022,59461.0,SE,23727,228.63268895452347
2025-06-07,McGee Toyota of Claremont,Claremont,2025,4.0,SE,35468,139.72520000000077
2025-06-07,Ira Toyota of Danvers,Danvers,2025,5.0,XSE,39702,99.17859999999928
2025-06-07,Canobie Lake Toyota,Salem,2025,5.0,LE,34767,82.66700000000128
2025-06-07,Grieco Honda,Johnston,2018,151869.0,SE,13555,-58.68346656821996
2025-06-07,AutoFair Toyota of Tewksbury,Tewksbury,2025,10.0,XSE,39893,-92.15439999999944
2025-06-07,Imperial Toyota,Milford,2023,25496.0,SE,27647,-192.62961051483944
2025-06-07,Canobie Lake Toyota,Salem,2025,5.0,LE,35233,-383.3329999999987
2025-06-07,Stephen Auto Mall,Bristol,2025,5.0,LE,35558,-708.3329999999987
2025-06-07,Faith's Toyota,Westminster,2025,5.0,XLE,39628,-836.3156999999992
2025-06-07,Ira Toyota of Danvers,Danvers,2025,5.0,SE,36572,-964.3413999999976
2025-06-07,Imperial Toyota,Milford,2024,27330.0,SE,29647,-986.9463555227376
2025-06-07,Canobie Lake Toyota,Salem,2023,35396.0,XSE,32000,-1011.4496105148428
2025-06-07,Imperial Toyota,Milford,2024,9784.0,SE,30977,-1148.3827555227365
2025-06-07,Toyota & Ford of Greenfield,Greenfield,2017,81361.0,LE,16999,-1706.853921029684
2025-06-07,Commonwealth Motors,Lawrence,2016,117658.0,LE,14723,-1900.619326504124
2025-06-07,McGee Toyota of Claremont,Claremont,2025,4.0,XSE,42241,-2439.7548000000024
2025-06-07,Toyota of Dartmouth,N. Dartmouth,2024,29070.0,SE,30988,-2443.8303555227394
2025-06-07,Bernardi Toyota,Framingham,2025,10.0,XLE,41829,-3037.648699999998
