Date,Dealer,City,Model Year,Mileage,Trim,Price,Discount
2025-04-23,Torrington Ford,Torrington,2025,5215.0,XLE,29995,8449.698299999996
2025-04-12,Woburn Toyota,Woburn,2025,15.0,XSE,33184,6616.512599999995
2025-04-05,Faith's Toyota,Westminster,2025,5.0,LE,28321,6528.667000000001
2025-04-09,Faith's Toyota,Westminster,2025,5.0,LE,28394,6455.667000000001
2025-04-12,Woburn Toyota,Woburn,2025,7.0,LE,29613,5236.533799999997
2025-04-12,Woburn Toyota,Woburn,2025,7.0,LE,29613,5236.533799999997
2025-04-23,McGee Toyota of Epping,Epping,2025,1.0,LE,29869,4980.933400000002
2025-04-17,McGee Toyota of Hanover,Hanover,2025,3.0,LE,29894,4955.800199999998
2025-04-15,Premier Auto LLC,Hooksett,2016,138757.0,XLE,10495,4864.204573495876
2025-04-13,Nucar Toyota of Norwood,Norwood,2025,3.0,LE,30144,4705.800199999998
2025-04-23,McGee Toyota of Epping,Epping,2025,1.0,LE,30207,4642.933400000002
2025-04-05,Nucar Toyota of Norwood,Norwood,2025,18312.0,LE,28988,4642.4208
2025-04-04,Middletown Toyota,Middletown,2025,19269.0,LE,28990,4576.6846000000005
2025-03-31,Smithtown Nissan,St James,2022,21218.0,LE,21600,4144.62488895452
2025-04-04,East Providence Auto Sales,East Providence,2017,67968.0,XLE,15995,4131.137178970315
2025-04-25,South Shore Auto Connection,Whitman,2019,63508.0,XLE,19995,4115.332700055544
2025-04-23,Woburn Toyota,Woburn,2025,15.0,SE,31759,3847.9925999999978
2025-04-17,McGee Toyota of Hanover,Hanover,2025,3.0,SE,31761,3846.791799999999
2025-04-24,McGovern Toyota of Portsmouth,Portsmouth,2019,112790.0,XLE,16993,3835.1515000555446
2025-04-17,Toyota of Nashua,Nashua,2025,8.0,LE,31360,3489.467199999999
2025-04-17,Toyota of Nashua,Nashua,2025,8.0,LE,31360,3489.467199999999
2025-04-27,Faith's Toyota,Westminster,2025,5.0,LE,31369,3480.6670000000013
2025-04-05,First City Cars and Trucks,Rochester,2016,92850.0,XSE,15975,3451.105073495873
2025-04-05,Stephen Auto Mall,Bristol,2025,5.0,LE,31419,3430.6670000000013
2025-04-05,Stephen Auto Mall,Bristol,2025,5.0,LE,31508,3341.6670000000013
2025-04-23,McGee Toyota of Epping,Epping,2025,1.0,LE,31540,3309.9334000000017
2025-04-02,Woburn Toyota,Woburn,2025,7.0,LE,31578,3271.5337999999974
2025-04-23,Faith's Toyota,Westminster,2025,5.0,SE,32358,3249.6586000000025
2025-04-04,Faith's Toyota,Westminster,2025,5.0,SE,32391,3216.6586000000025
